ticker,nameOfIssuer,cusip,value,shares,allocation_percent
PWR,QUANTA SCVS INC,74762E102,2075349053000.0,5007840,57.38963518342286
DY,DYCOM INDS INC,267475101,1201269283000.0,4117320,33.2187040097018
MTZ,MASTEC INC,576323109,159607500000.0,750000,4.41362679897017
SHLS,SHOALS TECHNOLOGIES GROUP IN,82489W107,52276090000.0,7054803,1.4455909137689424
N/A,EQT CORP,26884l109,31569400000.0,580000,0.8729887371671687
RRC,RANGE RES CORP,75281A109,30112000000.0,800000,0.8326872494750546
FSLR,FIRST SOLAR INC,336433107,22053000000.0,100000,0.6098316921052529
WBD,WARNER BROS DISCOVERY INC ,934423104,19530000000.0,1000000,0.5400631635974965
ARRY,ARRAY TECHNOLOGIES INC,04271T100,17365881000.0,2130783,0.480218772735159
AMC,AMC ENTMT HLDGS INC,00165C302,5800000000.0,2000000,0.16038742185691138
AMZN,AMAZON COM INC,023135106,873889000.0,3980,0.024165655810192144
GOOGL,ALPHABET INC,02079K305,437580000.0,1800,0.012100401388990911
