date,PortfolioValue_copy,PortfolioValue_copy_scaled,PortfolioValue_fund
2013-07-01 00:00:00+00:00,,,1000000.0
2013-07-02 00:00:00+00:00,,,996949.3314698646
2013-07-03 00:00:00+00:00,,,997603.7091811154
2013-07-05 00:00:00+00:00,,,1006924.6091302293
2013-07-08 00:00:00+00:00,,,1012710.6823446071
2013-07-09 00:00:00+00:00,,,1018514.7229660193
2013-07-10 00:00:00+00:00,,,1019806.1269896544
2013-07-11 00:00:00+00:00,,,1029846.1114225425
2013-07-12 00:00:00+00:00,,,1032351.2690509029
2013-07-15 00:00:00+00:00,,,1033792.5010499916
2013-07-16 00:00:00+00:00,,,1029225.8652103813
2013-07-17 00:00:00+00:00,,,1030406.6353256203
2013-07-18 00:00:00+00:00,,,1036412.6853577588
2013-07-19 00:00:00+00:00,,,1038052.3061369972
2013-07-22 00:00:00+00:00,,,1039493.0413678114
2013-07-23 00:00:00+00:00,,,1039465.8675851347
2013-07-24 00:00:00+00:00,,,1034739.6937414827
2013-07-25 00:00:00+00:00,,,1035864.1021543045
2013-07-26 00:00:00+00:00,1000000.0,1000000.0,1036967.739312728
2013-07-29 00:00:00+00:00,997038.88101269,996388.3930921715,1033852.4314058586
2013-07-30 00:00:00+00:00,998075.9945006861,997653.3359240877,1034882.9917215672
2013-07-31 00:00:00+00:00,999921.7616646513,999904.5745498192,1036874.6776833194
2013-08-01 00:00:00+00:00,1010465.7106821237,1012764.7801918385,1048041.538726862
2013-08-02 00:00:00+00:00,1011860.4339379143,1014465.8912132833,1049454.4336642846
2013-08-05 00:00:00+00:00,1010200.517539185,1012441.3303774098,1047779.6509714515
2013-08-06 00:00:00+00:00,1007736.387148311,1009435.8887252476,1045173.9420079777
2013-08-07 00:00:00+00:00,1005644.7238961207,1006884.7364470595,1042941.5174017247
2013-08-08 00:00:00+00:00,1008153.1203420975,1009944.1683613752,1045512.9773311142
2013-08-09 00:00:00+00:00,1005155.1416569847,1006287.6045505059,1042348.0841159965
2013-08-12 00:00:00+00:00,1003486.649223739,1004252.5837278393,1040616.9515655121
2013-08-13 00:00:00+00:00,1005580.7263361963,1006806.6801343961,1042935.8034364715
2013-08-14 00:00:00+00:00,1001780.6321056172,1002171.7949331006,1038991.6682861085
2013-08-15 00:00:00+00:00,990364.5460504966,988247.8643400606,1027099.9610793213
2013-08-16 00:00:00+00:00,989110.2469956486,986718.0254006644,1025821.9947257831
2013-08-19 00:00:00+00:00,985474.2276054046,982283.2584078213,1021987.9059108868
2013-08-20 00:00:00+00:00,989848.3848594293,987618.3147234459,1026481.588613637
2013-08-21 00:00:00+00:00,985276.8796781576,982042.557800941,1021741.0375846804
2013-08-22 00:00:00+00:00,992630.0123508553,991011.0000920828,1029362.1484179688
2013-08-23 00:00:00+00:00,997929.0019668299,997474.0526014824,1034650.6771419522
2013-08-26 00:00:00+00:00,992745.5206788427,991151.8828722272,1029299.535150283
2013-08-27 00:00:00+00:00,980409.4920860131,976105.9200885749,1016421.1709800721
2013-08-28 00:00:00+00:00,981668.8538979652,977641.9339532639,1017830.525932442
2013-08-29 00:00:00+00:00,983108.6916224749,979398.0700269159,1019238.107175827
2013-08-30 00:00:00+00:00,981413.742598363,977330.78072509,1017490.7735208214
2013-09-03 00:00:00+00:00,982704.5587746562,978905.1587352328,1019114.7494392549
2013-09-04 00:00:00+00:00,987215.9074652932,984407.5442065877,1023965.6321874685
2013-09-05 00:00:00+00:00,988834.7847638346,986382.0506210192,1025669.6761994825
2013-09-06 00:00:00+00:00,989480.5280073034,987169.6484071232,1026337.8308536297
2013-09-09 00:00:00+00:00,995502.017610199,994513.917090156,1032624.0421297764
2013-09-10 00:00:00+00:00,1002456.6840947752,1002996.3595806406,1039851.9539912443
2013-09-11 00:00:00+00:00,1007299.2750377499,1008902.7534055379,1044876.7413804994
2013-09-12 00:00:00+00:00,1005547.3159975064,1006765.9303332154,1042993.8389747189
2013-09-13 00:00:00+00:00,1008441.6382264987,1010296.0668121978,1045954.3530467998
2013-09-16 00:00:00+00:00,1015077.1433997082,1018389.235787574,1052904.2018051343
2013-09-17 00:00:00+00:00,1018349.7317929359,1022380.7345750636,1056295.440696971
2013-09-18 00:00:00+00:00,1027678.1980096229,1033758.4445461974,1066069.9845411486
2013-09-19 00:00:00+00:00,1026475.4212605103,1032291.446146509,1064827.1458133734
2013-09-20 00:00:00+00:00,1016874.4494734283,1020581.3675658469,1054925.5637496351
2013-09-23 00:00:00+00:00,1013081.6228262535,1015955.3464644199,1050909.15511458
2013-09-24 00:00:00+00:00,1010946.2679364779,1013350.9045275612,1048738.3734302016
2013-09-25 00:00:00+00:00,1009293.2413035422,1011334.746976338,1046974.7919510675
2013-09-26 00:00:00+00:00,1012311.704444022,1015016.2951937185,1050081.3877534503
2013-09-27 00:00:00+00:00,1008482.3687496822,1010345.7448695536,1045962.4412684569
2013-09-30 00:00:00+00:00,1003738.8948213267,1004560.2417269341,1045962.4412684569
2013-10-01 00:00:00+00:00,1009051.7393061861,1011040.1926927568,1051291.3485023198
2013-10-02 00:00:00+00:00,1006592.505107911,1008040.7228110933,1048706.7015832192
2013-10-03 00:00:00+00:00,998759.8302241357,998487.3942085452,1040915.2307684391
2013-10-04 00:00:00+00:00,1002725.1344420286,1003323.7821302589,1044786.5521712813
2013-10-07 00:00:00+00:00,996191.1450023975,995354.4294980342,1038053.4462821593
2013-10-08 00:00:00+00:00,989414.8724751371,987089.569904866,1030004.5957002494
2013-10-09 00:00:00+00:00,991685.7038680967,989859.2493336474,1030599.446328003
2013-10-10 00:00:00+00:00,1008999.5020698432,1010976.4801690689,1048995.5101617468
2013-10-11 00:00:00+00:00,1014507.0035691515,1017693.8496989732,1054439.6048944618
2013-10-14 00:00:00+00:00,1018607.7572608318,1022695.4421454928,1058411.882446549
2013-10-15 00:00:00+00:00,1011959.8910382508,1014587.1966900801,1051232.3741628544
2013-10-16 00:00:00+00:00,1021078.8296457956,1025709.3507839252,1061348.8029278896
2013-10-17 00:00:00+00:00,1026812.1244137294,1032702.1150319086,1066933.4503431956
2013-10-18 00:00:00+00:00,1031836.1544265845,1038829.805806013,1072259.2728219903
2013-10-21 00:00:00+00:00,1032491.2965251668,1039628.8671537632,1073252.3213098957
2013-10-22 00:00:00+00:00,1038907.428398951,1047454.4716958989,1079681.9608107405
2013-10-23 00:00:00+00:00,1034811.5363607395,1042458.808893317,1075896.2460703757
2013-10-24 00:00:00+00:00,1037803.0057145203,1046107.4334264655,1078575.1419614651
2013-10-25 00:00:00+00:00,1043167.9590545886,1052650.940332539,1083761.1441106396
2013-10-28 00:00:00+00:00,1044614.2244090119,1054414.9160346207,1085426.7085533086
2013-10-29 00:00:00+00:00,1050275.4247853362,1061319.7484555254,1090837.4718806618
2013-10-30 00:00:00+00:00,1045155.8684691964,1055075.5465049702,1085529.0169038489
2013-10-31 00:00:00+00:00,1042762.3482541267,1052156.2264169161,1083161.2256164062
2013-11-01 00:00:00+00:00,1042762.3482541267,1052156.2264169161,1084745.1621520654
2013-11-04 00:00:00+00:00,1044762.8203948425,1054634.7496127523,1086803.4352209978
2013-11-05 00:00:00+00:00,1044678.0904626182,1054529.771843692,1086742.684009843
2013-11-06 00:00:00+00:00,1054020.9315152809,1066105.2633452879,1096529.8102304451
2013-11-07 00:00:00+00:00,1044087.1721010524,1053797.642244795,1086024.839364613
2013-11-08 00:00:00+00:00,1056670.9998758521,1069388.6161941197,1099192.3463753848
2013-11-11 00:00:00+00:00,1055706.9802602492,1068194.225665063,1098144.604213561
2013-11-12 00:00:00+00:00,1054001.0966109482,1066080.68851144,1096331.147469027
2013-11-13 00:00:00+00:00,1061212.6501653967,1075015.5806296174,1103926.003047211
2013-11-14 00:00:00+00:00,1065159.7540785833,1079905.920467946,1108036.5747693928
2013-11-15 00:00:00+00:00,1067998.2626363533,1083422.7449009498,1110989.6950148994
