ticker,nameOfIssuer,cusip,value,shares,allocation_percent,filingDate,reportDate,accessionNumber
BABA,ALIBABA GROUP HLDG LTD,01609W102,1004181367000.0,11843158,15.535219789696256,2025-02-10,2024-12-31,0001656456-25-000001
AMZN,AMAZON COM INC,023135106,570414000000.0,2600000,8.824607936705322,2025-02-10,2024-12-31,0001656456-25-000001
PDD,PDD HOLDINGS INC,722304102,519491243000.0,5356132,8.036805804252198,2025-02-10,2024-12-31,0001656456-25-000001
MSFT,MICROSOFT CORP,594918104,408855000000.0,970000,6.325204286643831,2025-02-10,2024-12-31,0001656456-25-000001
VST,VISTRA CORP,92840M102,372249000000.0,2700000,5.758889998896625,2025-02-10,2024-12-31,0001656456-25-000001
JD,JD.COM INC,47215P106,362852233000.0,10465885,5.613517016032301,2025-02-10,2024-12-31,0001656456-25-000001
GOOG,ALPHABET INC,02079K107,358401034000.0,1881963,5.544654600272423,2025-02-10,2024-12-31,0001656456-25-000001
META,META PLATFORMS INC,30303M102,286899900000.0,490000,4.438494031668163,2025-02-10,2024-12-31,0001656456-25-000001
ORCL,ORACLE CORP,68389X105,233296000000.0,1400000,3.609213191123648,2025-02-10,2024-12-31,0001656456-25-000001
FXI,ISHARES TR,464287184,202034176000.0,6637128,3.1255761482279882,2025-02-10,2024-12-31,0001656456-25-000001
LYFT,LYFT INC,55087P104,174150000000.0,13500000,2.6941931161879475,2025-02-10,2024-12-31,0001656456-25-000001
NRG,NRG ENERGY INC,629377508,163749300000.0,1815000,2.5332887559035027,2025-02-10,2024-12-31,0001656456-25-000001
AMD,ADVANCED MICRO DEVICES INC,007903107,144948000000.0,1200000,2.2424226460247523,2025-02-10,2024-12-31,0001656456-25-000001
KWEB,KRANESHARES TRUST,500767306,133793322000.0,4575695,2.0698538451008752,2025-02-10,2024-12-31,0001656456-25-000001
BIDUN,BAIDU INC,056752108,128818008000.0,1527909,1.9928830915569562,2025-02-10,2024-12-31,0001656456-25-000001
QCOM,QUALCOMM INC,747525103,122896000000.0,800000,1.9012664783636748,2025-02-10,2024-12-31,0001656456-25-000001
N/A,ASML HOLDING N V,N07059210,110892800000.0,160000,1.7155705908401195,2025-02-10,2024-12-31,0001656456-25-000001
MU,MICRON TECHNOLOGY INC,595112103,100992000000.0,1200000,1.5623999494117322,2025-02-10,2024-12-31,0001656456-25-000001
FDX,FEDEX CORP,31428X106,98465500000.0,350000,1.5233136507723475,2025-02-10,2024-12-31,0001656456-25-000001
ET,ENERGY TRANSFER L P,29273V100,96279659000.0,4914735,1.4894975280317138,2025-02-10,2024-12-31,0001656456-25-000001
NVDA,NVIDIA CORPORATION,67066G104,91317334000.0,680001,1.4127277212255847,2025-02-10,2024-12-31,0001656456-25-000001
UBER,UBER TECHNOLOGIES INC,90353T100,90480000000.0,1500000,1.3997737189358914,2025-02-10,2024-12-31,0001656456-25-000001
LRCX,LAM RESEARCH CORP,512807306,90287500000.0,1250000,1.3967956415608342,2025-02-10,2024-12-31,0001656456-25-000001
UNH,UNITEDHEALTH GROUP INC,91324P102,88272570000.0,174500,1.3656236028838282,2025-02-10,2024-12-31,0001656456-25-000001
CZR,CAESARS ENTERTAINMENT INC NE,12769G100,73524000000.0,2200000,1.1374553814217778,2025-02-10,2024-12-31,0001656456-25-000001
GLW,CORNING INC,219350105,71280000000.0,1500000,1.1027395080211133,2025-02-10,2024-12-31,0001656456-25-000001
TSM,TAIWAN SEMICONDUCTOR MFG LTD,874039100,49372500000.0,250000,0.7638188322078061,2025-02-10,2024-12-31,0001656456-25-000001
BEKE,KE HLDGS INC,482497104,47414443000.0,2574074,0.7335266490869125,2025-02-10,2024-12-31,0001656456-25-000001
LVS,LAS VEGAS SANDS CORP,517834107,46224000000.0,900000,0.715109862777328,2025-02-10,2024-12-31,0001656456-25-000001
WYNN,WYNN RESORTS LTD,983134107,43080000000.0,500000,0.6664705107400332,2025-02-10,2024-12-31,0001656456-25-000001
EQT,EQT CORP,26884L109,36888000000.0,800000,0.5706769777200171,2025-02-10,2024-12-31,0001656456-25-000001
AR,ANTERO RESOURCES CORP,03674X106,29442000000.0,840000,0.4554833977996299,2025-02-10,2024-12-31,0001656456-25-000001
EXE,EXPAND ENERGY CORPORATION,165167735,29367250000.0,295000,0.4543269755461986,2025-02-10,2024-12-31,0001656456-25-000001
MPLX,MPLX LP,55336V100,27687010000.0,578500,0.4283327691635192,2025-02-10,2024-12-31,0001656456-25-000001
EXEEZ,EXPAND ENERGY CORPORATION,165167172,22728750000.0,250000,0.3516258500692323,2025-02-10,2024-12-31,0001656456-25-000001
INTC,INTEL CORP,458140100,20050000000.0,1000000,0.31018416296048434,2025-02-10,2024-12-31,0001656456-25-000001
EXEEL,EXPAND ENERGY CORPORATION,165167180,12828000000.0,150000,0.19845598216743604,2025-02-10,2024-12-31,0001656456-25-000001
